rps,op,average,minimum,p50,p75,p95,standard_deviation
9,d_pk,427.63235555555536,92.61500000000001,444.408,565.91525,646.32375,151.00246699624086
20,d_pk,715.6167156862745,449.76800000000003,701.3485000000001,831.8992499999999,939.36025,144.36692407676608
33,d_pk,381.8051887905605,107.487,390.48199999999997,500.907,595.2302,138.7358921069874
38,d_pk,662.8743947368423,399.873,663.9775,780.5709999999999,848.70025,128.32997835684404
54,d_pk,603.7506291512905,93.366,632.1155,796.9407500000001,923.6641499999998,232.1792970283554
62,d_pk,544.6831751592356,81.383,508.66150000000005,798.61475,987.05855,274.73660937099555
70,d_pk,685.735644475921,93.011,696.2175,835.1695000000001,1031.8124999999995,221.47144636757844
78,d_pk,454.53897966963115,176.65200000000002,454.36199999999997,556.573,648.4166999999999,123.52295832163695
95,d_pk,508.5507983281089,237.11599999999999,515.934,612.862,696.2808,125.19209105943872
104,d_pk,458.52266797385613,147.801,443.142,579.5740000000001,710.396,149.76015849988462
