rps,op,average,minimum,p50,p75,p95,standard_deviation
10,c,378.6538529411765,82.455,345.92100000000005,514.9155000000001,764.20685,209.70039625247136
22,c,777.071236111112,501.45099999999996,779.4509999999999,894.779,977.8140000000001,139.76526117539981
29,c,688.5578327526131,64.015,706.065,826.1495,966.0165000000001,198.1861173306226
39,c,343.16661636828644,67.179,329.156,445.48749999999995,539.3695,125.41049862771638
49,c,536.3908813905931,69.82199999999999,542.1049999999999,732.559,943.9569999999999,250.13059555621254
62,c,364.38087299035357,66.876,362.9565,475.87375,577.5802500000001,131.60282016226623
72,c,376.02670209790205,70.642,384.40000000000003,484.305,582.8391999999999,133.37666057078124
80,c,554.9385591939543,62.934000000000005,524.027,758.2865,958.5791999999999,239.44861991999147
87,c,516.4062600229094,246.235,516.24,623.116,700.5842,123.11954250074078
101,c,587.7316544916088,297.165,593.941,694.013,787.956,130.01660445419068
