rps,op,average,minimum,p50,p75,p95,standard_deviation
10,insert,378.6538529411765,82.455,345.92100000000005,514.9155000000001,764.20685,209.70039625247136
22,insert,777.071236111112,501.45099999999996,779.4509999999999,894.779,977.8140000000001,139.76526117539981
29,insert,688.5578327526131,64.015,706.065,826.1495,966.0165000000001,198.1861173306226
39,insert,343.16661636828644,67.179,329.156,445.48749999999995,539.3695,125.41049862771638
49,insert,536.3908813905931,69.82199999999999,542.1049999999999,732.559,943.9569999999999,250.13059555621254
62,insert,364.38087299035357,66.876,362.9565,475.87375,577.5802500000001,131.60282016226623
72,insert,376.02670209790205,70.642,384.40000000000003,484.305,582.8391999999999,133.37666057078124
80,insert,554.9385591939543,62.934000000000005,524.027,758.2865,958.5791999999999,239.44861991999147
87,insert,516.4062600229094,246.235,516.24,623.116,700.5842,123.11954250074078
101,insert,587.7316544916088,297.165,593.941,694.013,787.956,130.01660445419068
10,update,436.58909803921557,152.91299999999998,419.5425,539.2212499999999,798.8571,170.2441861571987
22,update,439.4383703703705,164.493,449.3055,544.44725,649.71775,134.2875770791467
29,update,579.1173135888506,293.646,586.784,694.068,781.5837,136.8580956225309
39,update,672.0366317135548,298.907,674.942,770.0665,901.5665,138.08432720883013
49,update,537.8102719836404,160.327,534.022,687.69,820.6883999999999,178.38582878026085
62,update,724.0025176848872,108.86999999999999,736.62,912.4942500000001,1053.1818,226.5845132139473
72,update,764.7005034965041,420.464,777.158,869.643,984.8688999999999,139.13686895889427
80,update,527.2122015113347,182.061,493.808,607.4565,953.6359499999996,187.647220857271
87,update,13034751.975040091,509.35600000000005,19584309.643,19586652.012,19587979.613,9245464.410527153
101,update,19554629.33970188,19541682.817,19555212.319,19556842.233,19557896.3602,3451.6401804259835
10,delete,785.0719,567.086,781.9075,917.9599999999999,959.78355,141.4875539791005
19,delete,507.76502094240817,83.653,487.531,709.396,964.965,255.69011634293312
30,delete,501.05736824324293,202.961,511.496,625.24725,703.54675,136.3227699707991
42,delete,660.0408009592327,391.18199999999996,657.5649999999999,772.8080000000001,866.8366,135.03965068512213
56,delete,758.7547256317679,453.978,760.1905,882.317,1006.8132999999999,152.82514937123557
58,delete,572.4164743150677,256.924,591.3399999999999,687.3325,782.03055,134.69988077622045
72,delete,656.3278647140858,390.42900000000003,647.221,769.636,847.1908,123.28497697528239
79,delete,555.7604296577949,269.663,553.9399999999999,666.556,757.5828,130.653392220971
90,delete,435.0646375690607,146.732,441.107,523.319,648.1247999999999,127.37034727059937
101,delete,531.5692947813826,218.441,543.45,644.4929999999999,725.9808,133.3836675000212
9,delete_primary_key,427.63235555555536,92.61500000000001,444.408,565.91525,646.32375,151.00246699624086
20,delete_primary_key,715.6167156862745,449.76800000000003,701.3485000000001,831.8992499999999,939.36025,144.36692407676608
33,delete_primary_key,381.8051887905605,107.487,390.48199999999997,500.907,595.2302,138.7358921069874
38,delete_primary_key,662.8743947368423,399.873,663.9775,780.5709999999999,848.70025,128.32997835684404
54,delete_primary_key,603.7506291512905,93.366,632.1155,796.9407500000001,923.6641499999998,232.1792970283554
62,delete_primary_key,544.6831751592356,81.383,508.66150000000005,798.61475,987.05855,274.73660937099555
70,delete_primary_key,685.735644475921,93.011,696.2175,835.1695000000001,1031.8124999999995,221.47144636757844
78,delete_primary_key,454.53897966963115,176.65200000000002,454.36199999999997,556.573,648.4166999999999,123.52295832163695
95,delete_primary_key,508.5507983281089,237.11599999999999,515.934,612.862,696.2808,125.19209105943872
104,delete_primary_key,458.52266797385613,147.801,443.142,579.5740000000001,710.396,149.76015849988462
