rps,op,average,minimum,p50,p75,p95,standard_deviation
10,u,436.58909803921557,152.91299999999998,419.5425,539.2212499999999,798.8571,170.2441861571987
22,u,439.4383703703705,164.493,449.3055,544.44725,649.71775,134.2875770791467
29,u,579.1173135888506,293.646,586.784,694.068,781.5837,136.8580956225309
39,u,672.0366317135548,298.907,674.942,770.0665,901.5665,138.08432720883013
49,u,537.8102719836404,160.327,534.022,687.69,820.6883999999999,178.38582878026085
62,u,724.0025176848872,108.86999999999999,736.62,912.4942500000001,1053.1818,226.5845132139473
72,u,764.7005034965041,420.464,777.158,869.643,984.8688999999999,139.13686895889427
80,u,527.2122015113347,182.061,493.808,607.4565,953.6359499999996,187.647220857271
87,u,13034751.975040091,509.35600000000005,19584309.643,19586652.012,19587979.613,9245464.410527153
101,u,19554629.33970188,19541682.817,19555212.319,19556842.233,19557896.3602,3451.6401804259835
